股票代码,中文名称,每股收益(元),每股经营现金流(元),每股公积金(元),每股未分配利润(元),流通股本(亿股),流通市值(亿元),_quarter,stock_id,_stock_name,_selected_time
600655.XSHG,豫园股份,0.12,-0.36,2.78,3.49,16.03,141.54,2020-10-28,600655.XSHG,豫园股份,2024-01-25
601188.XSHG,龙江交通,0.07,0.14,0.93,1.25,13.16,36.06,2020-10-28,601188.XSHG,龙江交通,2024-01-25
002330.XSHE,得利斯,0.03,0.16,0.97,0.69,5.02,33.98,2020-10-28,002330.XSHE,得利斯,2024-01-25
603755.XSHG,日辰股份,0.24,0.1,3.52,1.19,0.34,24.28,2020-10-28,603755.XSHG,日辰股份,2024-01-25
688519.XSHG,南亚新材,0.1,-0.01,8.22,1.51,0.49,16.83,2020-10-28,688519.XSHG,南亚新材,2024-01-25
002029.XSHE,七匹狼,0.05,0.12,2.49,3.43,7.35,39.54,2020-10-28,002029.XSHE,七匹狼,2024-01-25
300040.XSHE,九洲集团,0.04,-0.1,2.61,2.1,2.66,22.1,2020-10-28,300040.XSHE,九洲集团,2024-01-25
002687.XSHE,乔治白,0.09,0.3,0.94,1.2,2.86,17.12,2020-10-28,002687.XSHE,乔治白,2024-01-25
600057.XSHG,厦门象屿,0.12,-4.51,2.29,1.64,21.57,127.07,2020-10-28,600057.XSHG,厦门象屿,2024-01-25
600252.XSHG,中恒集团,0.03,0.06,0.02,0.71,34.75,112.25,2020-10-28,600252.XSHG,中恒集团,2024-01-25
300615.XSHE,欣天科技,0.02,0.08,0.81,0.59,0.87,12.55,2020-10-28,300615.XSHE,欣天科技,2024-01-25
002289.XSHE,宇顺电子,-0.03,-0.04,6.08,-6.04,2.59,30.39,2020-10-28,002289.XSHE,宇顺电子,2024-01-25
002563.XSHE,森马服饰,0.07,0.54,1.03,1.57,18.88,151.57,2020-10-28,002563.XSHE,森马服饰,2024-01-25
002129.XSHE,TCL中环,0.1,0.39,4.08,1.13,26.83,594.34,2020-10-28,002129.XSHE,TCL中环,2024-01-25
600306.XSHG,ST商城,-0.19,0.02,1.15,-3.28,1.77,7.24,2020-10-28,600306.XSHG,ST商城,2024-01-25
300873.XSHE,海晨股份,0.37,0.3,8.12,3.61,0.32,14.63,2020-10-28,300873.XSHE,海晨股份,2024-01-25
000937.XSHE,冀中能源,0.07,0.67,1.24,3.0,29.07,111.03,2020-10-28,000937.XSHE,冀中能源,2024-01-25
300127.XSHE,银河磁体,0.11,0.16,1.54,0.87,2.28,42.68,2020-10-28,300127.XSHE,银河磁体,2024-01-25
601865.XSHG,福莱特,0.18,0.45,0.45,1.94,3.41,102.02,2020-10-28,601865.XSHG,福莱特,2024-01-25
002846.XSHE,英联股份,0.11,0.21,1.37,1.36,1.39,20.66,2020-10-28,002846.XSHE,英联股份,2024-01-25
300045.XSHE,华力创通,0.02,-0.06,1.26,0.54,4.29,54.88,2020-10-28,300045.XSHE,华力创通,2024-01-25
002536.XSHE,飞龙股份,0.09,0.23,1.85,1.22,4.71,26.24,2020-10-28,002536.XSHE,飞龙股份,2024-01-25
300670.XSHE,大烨智能,0.06,0.24,1.03,0.75,1.78,14.33,2020-10-28,300670.XSHE,大烨智能,2024-01-25
300477.XSHE,合纵科技,-0.06,0.01,0.8,0.42,5.37,34.37,2020-10-28,300477.XSHE,合纵科技,2024-01-25
000722.XSHE,湖南发展,0.04,-0.59,4.6,0.82,4.64,31.61,2020-10-28,000722.XSHE,湖南发展,2024-01-25
300114.XSHE,中航电测,0.13,0.16,0.14,1.57,5.91,96.59,2020-10-28,300114.XSHE,中航电测,2024-01-25
600526.XSHG,菲达环保,0.01,-0.04,3.11,-0.48,5.47,27.43,2020-10-28,600526.XSHG,菲达环保,2024-01-25
002268.XSHE,电科网安,0.05,0.03,3.09,1.14,8.37,154.78,2020-10-28,002268.XSHE,电科网安,2024-01-25
601086.XSHG,国芳集团,0.05,0.23,0.53,0.66,6.66,32.1,2020-10-28,601086.XSHG,国芳集团,2024-01-25
600096.XSHG,云天化,0.09,0.78,4.0,-1.96,13.21,65.54,2020-10-28,600096.XSHG,云天化,2024-01-25
002485.XSHE,*ST雪发,0.02,0.01,1.94,1.08,5.44,29.21,2020-10-28,002485.XSHE,*ST雪发,2024-01-25
603101.XSHG,汇嘉时代,-0.04,-0.24,0.44,1.4,4.7,26.39,2020-10-28,603101.XSHG,汇嘉时代,2024-01-25
600187.XSHG,国中水务,0.0,0.02,1.25,-0.11,16.54,41.35,2020-10-28,600187.XSHG,国中水务,2024-01-25
002384.XSHE,东山精密,0.26,0.26,4.75,1.78,12.63,333.4,2020-10-28,002384.XSHE,东山精密,2024-01-25
300485.XSHE,赛升药业,0.09,0.17,1.73,2.69,2.53,51.57,2020-10-28,300485.XSHE,赛升药业,2024-01-25
600108.XSHG,亚盛集团,0.0,-0.02,0.26,1.02,19.47,64.83,2020-10-28,600108.XSHG,亚盛集团,2024-01-25
688586.XSHG,江航装备,0.13,-0.16,3.04,0.58,0.88,29.18,2020-10-28,688586.XSHG,江航装备,2024-01-25
688156.XSHG,路德环境,0.21,-0.04,5.08,1.23,0.21,5.13,2020-10-28,688156.XSHG,路德环境,2024-01-25
600110.XSHG,诺德股份,0.0,-0.15,0.61,0.06,11.5,61.54,2020-10-28,600110.XSHG,诺德股份,2024-01-25
002620.XSHE,瑞和股份,0.19,0.04,3.24,1.98,3.1,18.03,2020-10-28,002620.XSHE,瑞和股份,2024-01-25
300849.XSHE,锦盛新材,0.09,0.23,3.74,2.03,0.25,6.26,2020-10-28,300849.XSHE,锦盛新材,2024-01-25
300007.XSHE,汉威科技,0.18,0.76,2.04,1.97,2.41,39.23,2020-10-28,300007.XSHE,汉威科技,2024-01-25
300787.XSHE,海能实业,0.13,-0.39,3.6,4.42,0.5,29.26,2020-10-28,300787.XSHE,海能实业,2024-01-25
603011.XSHG,合锻智能,0.07,0.13,2.29,0.53,4.49,23.79,2020-10-28,603011.XSHG,合锻智能,2024-01-25
300233.XSHE,金城医药,0.1,0.48,6.32,3.14,3.66,95.72,2020-10-28,300233.XSHE,金城医药,2024-01-25
603599.XSHG,广信股份,0.33,0.48,4.63,5.57,4.65,83.87,2020-10-28,603599.XSHG,广信股份,2024-01-25
002221.XSHE,东华能源,0.21,0.02,2.42,2.88,15.32,132.49,2020-10-28,002221.XSHE,东华能源,2024-01-25
600382.XSHG,ST广珠,0.14,-0.02,2.06,4.32,7.89,39.29,2020-10-28,600382.XSHG,ST广珠,2024-01-25
002593.XSHE,日上集团,0.04,0.05,1.05,0.72,4.68,17.31,2020-10-28,002593.XSHE,日上集团,2024-01-25
002200.XSHE,ST交投,-0.2,-0.09,4.21,-4.96,1.75,10.02,2020-10-28,002200.XSHE,ST交投,2024-01-25
600698.XSHG,湖南天雁,-0.0,0.01,0.5,-0.85,7.38,16.82,2020-10-28,600698.XSHG,湖南天雁,2024-01-25
002628.XSHE,成都路桥,0.02,-0.41,1.19,1.39,7.33,28.79,2020-10-28,002628.XSHE,成都路桥,2024-01-25
603679.XSHG,华体科技,0.14,0.14,1.4,2.63,1.41,34.7,2020-10-28,603679.XSHG,华体科技,2024-01-25
603260.XSHG,合盛硅业,0.29,0.38,2.16,6.24,3.65,103.16,2020-10-28,603260.XSHG,合盛硅业,2024-01-25
002718.XSHE,友邦吊顶,0.33,0.27,3.09,5.06,0.66,10.23,2020-10-28,002718.XSHE,友邦吊顶,2024-01-25
688093.XSHG,世华科技,0.29,0.03,4.04,0.95,0.39,11.14,2020-10-28,688093.XSHG,世华科技,2024-01-25
601113.XSHG,华鼎股份,0.04,0.01,3.48,-0.55,9.08,30.32,2020-10-28,601113.XSHG,华鼎股份,2024-01-25
603863.XSHG,松炀资源,0.1,0.14,2.79,1.72,1.09,13.18,2020-10-28,603863.XSHG,松炀资源,2024-01-25
600426.XSHG,华鲁恒升,0.24,0.41,1.28,6.45,16.2,396.98,2020-10-28,600426.XSHG,华鲁恒升,2024-01-25
300888.XSHE,稳健医疗,4.97,3.5,10.45,11.18,0.44,50.24,2020-10-28,300888.XSHE,稳健医疗,2024-01-25
600118.XSHG,中国卫星,0.08,0.4,1.47,2.29,11.82,393.18,2020-10-28,600118.XSHG,中国卫星,2024-01-25
688029.XSHG,南微医学,0.71,0.67,13.69,4.03,0.43,99.84,2020-10-28,688029.XSHG,南微医学,2024-01-25
603896.XSHG,寿仙谷,0.17,0.41,4.48,2.74,1.42,58.58,2020-10-28,603896.XSHG,寿仙谷,2024-01-25
603815.XSHG,交建股份,0.01,-0.25,0.42,0.62,0.5,8.15,2020-10-28,603815.XSHG,交建股份,2024-01-25
600798.XSHG,宁波海运,0.1,0.12,0.98,0.8,10.31,30.41,2020-10-28,600798.XSHG,宁波海运,2024-01-25
002685.XSHE,华东重机,0.03,0.03,3.0,0.88,7.94,39.53,2020-10-28,002685.XSHE,华东重机,2024-01-25
300096.XSHE,易联众,0.01,-0.09,0.16,0.32,3.77,39.16,2020-10-28,300096.XSHE,易联众,2024-01-25
300862.XSHE,蓝盾光电,0.21,-0.22,8.68,2.92,0.31,15.82,2020-10-28,300862.XSHE,蓝盾光电,2024-01-25
000062.XSHE,深圳华强,0.17,-0.77,0.62,3.2,10.45,140.71,2020-10-28,000062.XSHE,深圳华强,2024-01-25
300134.XSHE,大富科技,0.01,-0.0,6.32,-0.91,7.12,94.04,2020-10-28,300134.XSHE,大富科技,2024-01-25
688233.XSHG,神工股份,0.24,0.29,5.4,0.8,0.38,17.47,2020-10-28,688233.XSHG,神工股份,2024-01-25
603311.XSHG,金海高科,0.1,0.07,0.99,1.8,2.1,33.54,2020-10-28,603311.XSHG,金海高科,2024-01-25
002590.XSHE,万安科技,0.02,-0.15,1.62,1.09,4.33,31.76,2020-10-28,002590.XSHE,万安科技,2024-01-25
000982.XSHE,中银绒业,0.0,0.03,1.05,-1.79,42.62,49.86,2020-10-28,000982.XSHE,中银绒业,2024-01-25
603823.XSHG,百合花,0.23,0.34,1.09,2.97,0.98,14.25,2020-10-28,603823.XSHG,百合花,2024-01-25
600297.XSHG,广汇汽车,0.1,-0.29,1.63,2.2,81.1,261.96,2020-10-28,600297.XSHG,广汇汽车,2024-01-25
603118.XSHG,共进股份,0.15,0.32,3.44,1.35,7.76,91.61,2020-10-28,603118.XSHG,共进股份,2024-01-25
603002.XSHG,宏昌电子,0.05,0.07,0.16,0.7,6.14,29.92,2020-10-28,603002.XSHG,宏昌电子,2024-01-25
600794.XSHG,保税科技,0.07,-0.1,0.22,0.48,12.12,41.21,2020-10-28,600794.XSHG,保税科技,2024-01-25
300006.XSHE,莱美药业,0.01,0.14,0.79,0.01,6.24,43.4,2020-10-28,300006.XSHE,莱美药业,2024-01-25
688202.XSHG,美迪西,0.45,0.59,12.19,3.79,0.13,23.04,2020-10-28,688202.XSHG,美迪西,2024-01-25
002657.XSHE,中科金财,-0.03,-0.28,5.25,0.09,2.97,40.61,2020-10-28,002657.XSHE,中科金财,2024-01-25
300415.XSHE,伊之密,0.27,0.44,0.06,2.15,4.09,60.28,2020-10-28,300415.XSHE,伊之密,2024-01-25
603728.XSHG,鸣志电器,0.15,0.26,1.77,2.21,4.16,82.16,2020-10-28,603728.XSHG,鸣志电器,2024-01-25
603703.XSHG,盛洋科技,0.01,0.05,0.37,0.43,2.3,24.65,2020-10-28,603703.XSHG,盛洋科技,2024-01-25
002114.XSHE,罗平锌电,0.12,0.36,4.62,-1.26,3.23,19.18,2020-10-28,002114.XSHE,罗平锌电,2024-01-25
300742.XSHE,越博动力,0.01,-0.09,11.34,-8.04,0.43,11.85,2020-10-28,300742.XSHE,越博动力,2024-01-25
603033.XSHG,三维股份,0.06,-0.15,3.73,1.91,2.49,65.21,2020-10-28,603033.XSHG,三维股份,2024-01-25
002090.XSHE,金智科技,0.03,0.22,0.19,1.83,3.99,35.26,2020-10-28,002090.XSHE,金智科技,2024-01-25
688301.XSHG,奕瑞科技,0.64,0.9,29.62,4.56,0.16,22.98,2020-10-28,688301.XSHG,奕瑞科技,2024-01-25
002171.XSHE,楚江新材,0.1,-0.15,2.13,1.12,12.02,118.92,2020-10-28,002171.XSHE,楚江新材,2024-01-25
605255.XSHG,天普股份,0.11,0.06,4.24,1.45,0.34,5.56,2020-10-28,605255.XSHG,天普股份,2024-01-25
300766.XSHE,每日互动,0.03,0.06,1.99,1.12,3.1,94.09,2020-10-28,300766.XSHE,每日互动,2024-01-25
002848.XSHE,高斯贝尔,-0.64,-0.02,1.45,0.8,0.99,13.32,2020-10-28,002848.XSHE,高斯贝尔,2024-01-25
603628.XSHG,清源股份,0.08,-0.23,1.45,0.92,2.74,22.42,2020-10-28,603628.XSHG,清源股份,2024-01-25
000981.XSHE,山子股份,0.0,0.0,2.26,-1.21,25.74,48.14,2020-10-28,000981.XSHE,山子股份,2024-01-25
603081.XSHG,大丰实业,0.21,0.1,1.2,2.63,4.02,46.21,2020-10-28,603081.XSHG,大丰实业,2024-01-25
300171.XSHE,东富龙,0.18,0.35,1.8,2.2,4.28,78.34,2020-10-28,300171.XSHE,东富龙,2024-01-25
300343.XSHE,联创股份,0.07,0.04,2.2,-2.42,8.37,27.61,2020-10-28,300343.XSHE,联创股份,2024-01-25
002066.XSHE,瑞泰科技,0.04,0.45,0.71,0.2,2.31,22.87,2020-10-28,002066.XSHE,瑞泰科技,2024-01-25
603822.XSHG,嘉澳环保,0.14,0.23,3.11,5.57,0.73,17.87,2020-10-28,603822.XSHG,嘉澳环保,2024-01-25
601002.XSHG,晋亿实业,0.06,-0.06,1.73,0.75,7.93,44.47,2020-10-28,601002.XSHG,晋亿实业,2024-01-25
300334.XSHE,津膜科技,0.05,0.07,3.53,-1.99,2.93,23.65,2020-10-28,300334.XSHE,津膜科技,2024-01-25
300047.XSHE,天源迪科,0.07,0.31,2.31,1.59,5.17,42.34,2020-10-28,300047.XSHE,天源迪科,2024-01-25
600230.XSHG,沧州大化,-0.01,0.3,1.27,5.24,4.12,41.23,2020-10-28,600230.XSHG,沧州大化,2024-01-25
300346.XSHE,南大光电,0.0,-0.02,1.04,1.21,3.7,137.35,2020-10-28,300346.XSHE,南大光电,2024-01-25
688313.XSHG,仕佳光子,0.02,0.04,1.41,0.08,0.42,11.63,2020-10-28,688313.XSHG,仕佳光子,2024-01-25
688158.XSHG,优刻得,-0.24,-0.0,7.5,-0.47,0.47,29.02,2020-10-28,688158.XSHG,优刻得,2024-01-25
002923.XSHE,润都股份,0.19,0.46,1.88,2.38,0.62,11.51,2020-10-28,002923.XSHE,润都股份,2024-01-25
300662.XSHE,科锐国际,0.33,0.47,1.53,2.88,1.8,109.62,2020-10-28,300662.XSHE,科锐国际,2024-01-25
688298.XSHG,东方生物,1.17,1.39,4.58,6.28,0.28,45.77,2020-10-28,688298.XSHG,东方生物,2024-01-25
603977.XSHG,国泰集团,0.11,0.18,1.74,0.96,4.33,33.84,2020-10-28,603977.XSHG,国泰集团,2024-01-25
002119.XSHE,康强电子,0.05,0.19,0.3,1.09,3.68,40.2,2020-10-28,002119.XSHE,康强电子,2024-01-25
300737.XSHE,科顺股份,0.47,0.48,3.06,2.2,2.99,69.72,2020-10-28,300737.XSHE,科顺股份,2024-01-25
600676.XSHG,交运股份,-0.0,0.17,2.32,1.74,10.28,55.85,2020-10-28,600676.XSHG,交运股份,2024-01-25
603087.XSHG,甘李药业,0.67,0.63,4.41,9.03,0.56,66.19,2020-10-28,603087.XSHG,甘李药业,2024-01-25
688309.XSHG,*ST恒誉,0.1,-0.15,5.51,2.04,0.18,7.77,2020-10-28,688309.XSHG,*ST恒誉,2024-01-25
002413.XSHE,雷科防务,0.04,-0.03,1.76,0.76,10.44,86.53,2020-10-28,002413.XSHE,雷科防务,2024-01-25
688488.XSHG,艾迪药业,0.01,0.06,2.08,0.12,0.51,14.63,2020-10-28,688488.XSHG,艾迪药业,2024-01-25
688277.XSHG,天智航,-0.04,-0.1,1.66,-0.29,0.35,22.05,2020-10-28,688277.XSHG,天智航,2024-01-25
002039.XSHE,黔源电力,0.96,1.99,3.75,4.98,3.05,46.69,2020-10-28,002039.XSHE,黔源电力,2024-01-25
603326.XSHG,我乐家居,0.24,0.04,0.84,1.32,3.14,34.69,2020-10-28,603326.XSHG,我乐家居,2024-01-25
300722.XSHE,新余国科,0.08,-0.03,0.95,0.87,0.36,22.76,2020-10-28,300722.XSHE,新余国科,2024-01-25
600791.XSHG,京能置业,-0.06,-3.96,0.39,1.78,4.52,18.18,2020-10-28,600791.XSHG,京能置业,2024-01-25
300402.XSHE,宝色股份,0.06,0.49,1.11,1.03,2.02,31.17,2020-10-28,300402.XSHE,宝色股份,2024-01-25
002106.XSHE,莱宝高科,0.12,0.41,2.89,1.77,7.04,94.64,2020-10-28,002106.XSHE,莱宝高科,2024-01-25
002757.XSHE,南兴股份,0.21,0.22,2.87,2.53,2.4,49.34,2020-10-28,002757.XSHE,南兴股份,2024-01-25
300772.XSHE,运达股份,0.13,0.12,2.32,1.7,1.55,20.75,2020-10-28,300772.XSHE,运达股份,2024-01-25
300085.XSHE,银之杰,-0.02,-0.03,0.55,0.27,3.8,87.8,2020-10-28,300085.XSHE,银之杰,2024-01-25
300880.XSHE,迦南智能,0.23,0.73,2.06,1.5,0.32,11.4,2020-10-28,300880.XSHE,迦南智能,2024-01-25
002055.XSHE,得润电子,0.11,0.01,2.16,1.32,4.34,68.73,2020-10-28,002055.XSHE,得润电子,2024-01-25
600410.XSHG,华胜天成,-0.15,-0.11,2.33,0.99,10.99,130.86,2020-10-28,600410.XSHG,华胜天成,2024-01-25
600285.XSHG,羚锐制药,0.16,0.23,0.6,1.94,5.68,58.14,2020-10-28,600285.XSHG,羚锐制药,2024-01-25
300853.XSHE,申昊科技,0.5,0.22,7.57,4.2,0.2,12.63,2020-10-28,300853.XSHE,申昊科技,2024-01-25
002118.XSHE,紫鑫药业,-0.05,0.01,1.2,0.98,12.81,47.9,2020-10-28,002118.XSHE,紫鑫药业,2024-01-25
002640.XSHE,跨境通,0.06,-0.45,2.45,-0.32,12.34,76.16,2020-10-28,002640.XSHE,跨境通,2024-01-25
688366.XSHG,昊海生科,0.48,0.39,18.39,10.36,0.15,17.7,2020-10-28,688366.XSHG,昊海生科,2024-01-25
603099.XSHG,长白山,0.07,0.15,1.07,1.5,2.67,22.03,2020-10-28,603099.XSHG,长白山,2024-01-25
688185.XSHG,康希诺,-0.3,-0.24,26.61,-2.2,0.23,78.14,2020-10-28,688185.XSHG,康希诺,2024-01-25
605136.XSHG,丽人丽妆,0.1,-1.22,1.8,2.55,0.4,7.75,2020-10-28,605136.XSHG,丽人丽妆,2024-01-25
300689.XSHE,澄天伟业,0.19,0.56,3.64,4.49,0.58,21.74,2020-10-28,300689.XSHE,澄天伟业,2024-01-25
603108.XSHG,润达医疗,0.21,0.21,1.68,2.4,5.8,77.72,2020-10-28,603108.XSHG,润达医疗,2024-01-25
603139.XSHG,康惠制药,0.13,0.26,4.13,4.38,1.0,18.36,2020-10-28,603139.XSHG,康惠制药,2024-01-25
300724.XSHE,捷佳伟创,0.63,1.16,3.67,4.33,1.7,178.64,2020-10-28,300724.XSHE,捷佳伟创,2024-01-25
002475.XSHE,立讯精密,0.31,-0.06,0.24,2.26,69.75,3984.86,2020-10-28,002475.XSHE,立讯精密,2024-01-25
002141.XSHE,贤丰控股,-0.04,-0.06,0.08,-0.09,6.37,19.16,2020-10-28,002141.XSHE,贤丰控股,2024-01-25
600517.XSHG,国网英大,0.07,0.07,0.79,0.92,13.56,90.32,2020-10-28,600517.XSHG,国网英大,2024-01-25
601068.XSHG,中铝国际,-0.01,0.09,0.29,1.2,2.96,10.86,2020-10-28,601068.XSHG,中铝国际,2024-01-25
600265.XSHG,ST景谷,-0.05,0.1,2.2,-3.11,1.3,25.13,2020-10-28,600265.XSHG,ST景谷,2024-01-25
600461.XSHG,洪城环境,0.21,0.5,2.18,1.94,7.9,50.38,2020-10-28,600461.XSHG,洪城环境,2024-01-25
603378.XSHG,亚士创能,0.65,-1.26,2.97,4.17,1.95,132.07,2020-10-28,603378.XSHG,亚士创能,2024-01-25
300756.XSHE,金马游乐,0.2,0.69,4.52,4.61,0.33,8.97,2020-10-28,300756.XSHE,金马游乐,2024-01-25
002896.XSHE,中大力德,0.27,0.39,4.04,3.19,0.8,22.1,2020-10-28,002896.XSHE,中大力德,2024-01-25
600572.XSHG,康恩贝,0.02,0.09,0.25,0.72,26.61,138.62,2020-10-28,600572.XSHG,康恩贝,2024-01-25
002313.XSHE,*ST日海,-0.08,-0.24,5.69,1.56,3.11,47.31,2020-10-28,002313.XSHE,*ST日海,2024-01-25
600863.XSHG,内蒙华电,0.05,0.19,0.03,0.65,58.09,148.7,2020-10-28,600863.XSHG,内蒙华电,2024-01-25
603996.XSHG,退市中新,-0.43,0.0,1.86,-6.25,3.0,9.33,2020-10-28,603996.XSHG,退市中新,2024-01-25
002549.XSHE,凯美特气,0.05,0.11,0.06,0.39,6.2,44.1,2020-10-28,002549.XSHE,凯美特气,2024-01-25
603798.XSHG,康普顿,0.12,0.11,1.31,2.51,2.0,21.2,2020-10-28,603798.XSHG,康普顿,2024-01-25
600851.XSHG,海欣股份,0.02,0.04,0.36,0.44,7.38,54.18,2020-10-28,600851.XSHG,海欣股份,2024-01-25
600699.XSHG,均胜电子,0.21,1.1,6.02,2.91,12.37,274.05,2020-10-28,600699.XSHG,均胜电子,2024-01-25
300616.XSHE,尚品宅配,0.91,1.01,7.59,8.73,1.3,79.12,2020-10-28,300616.XSHE,尚品宅配,2024-01-25
603931.XSHG,格林达,0.29,0.29,7.0,2.12,0.25,12.24,2020-10-28,603931.XSHG,格林达,2024-01-25
600753.XSHG,东方银星,-0.0,-0.26,0.5,-0.32,1.79,26.31,2020-10-28,600753.XSHG,东方银星,2024-01-25
000812.XSHE,陕西金叶,-0.0,0.37,0.25,0.48,6.7,20.44,2020-10-28,000812.XSHE,陕西金叶,2024-01-25
002585.XSHE,双星新材,0.19,0.44,4.48,1.32,8.8,71.53,2020-10-28,002585.XSHE,双星新材,2024-01-25
600444.XSHG,国机通用,0.13,0.31,2.25,0.63,1.46,14.85,2020-10-28,600444.XSHG,国机通用,2024-01-25
300348.XSHE,长亮科技,0.05,-0.01,0.59,0.09,5.83,139.22,2020-10-28,300348.XSHE,长亮科技,2024-01-25
300676.XSHE,华大基因,2.63,1.4,6.41,9.13,2.49,358.84,2020-10-28,300676.XSHE,华大基因,2024-01-25
002553.XSHE,南方精工,0.07,0.08,0.16,0.7,2.34,16.28,2020-10-28,002553.XSHE,南方精工,2024-01-25
600992.XSHG,贵绳股份,0.03,0.08,3.43,1.1,2.45,16.54,2020-10-28,600992.XSHG,贵绳股份,2024-01-25
300628.XSHE,亿联网络,0.4,0.25,1.03,3.2,4.78,288.45,2020-10-28,300628.XSHE,亿联网络,2024-01-25
600595.XSHG,中孚实业,-0.03,0.02,1.95,-1.46,17.42,39.88,2020-10-28,600595.XSHG,中孚实业,2024-01-25
003816.XSHE,中国广核,0.06,0.2,0.21,0.55,97.54,279.95,2020-10-28,003816.XSHE,中国广核,2024-01-25
603718.XSHG,海利生物,0.01,0.01,0.19,0.31,6.44,138.72,2020-10-28,603718.XSHG,海利生物,2024-01-25
000023.XSHE,深天地A,0.07,0.86,0.74,1.27,1.39,23.69,2020-10-28,000023.XSHE,深天地A,2024-01-25
300383.XSHE,光环新网,0.15,0.2,2.91,1.87,15.02,335.86,2020-10-28,300383.XSHE,光环新网,2024-01-25
603000.XSHG,人民网,0.06,0.14,0.72,0.95,11.06,205.0,2020-10-28,603000.XSHG,人民网,2024-01-25
605358.XSHG,立昂微,0.14,-0.03,1.82,1.53,0.41,9.93,2020-10-28,605358.XSHG,立昂微,2024-01-25
300738.XSHE,奥飞数据,0.08,-0.21,0.93,1.91,1.02,45.23,2020-10-28,300738.XSHE,奥飞数据,2024-01-25
002417.XSHE,*ST深南,0.04,0.03,1.24,-1.4,2.36,21.13,2020-10-28,002417.XSHE,*ST深南,2024-01-25
300752.XSHE,隆利科技,0.11,0.36,3.69,2.58,0.33,9.34,2020-10-28,300752.XSHE,隆利科技,2024-01-25
603999.XSHG,读者传媒,0.05,-0.04,0.43,1.44,5.76,33.29,2020-10-28,603999.XSHG,读者传媒,2024-01-25
601128.XSHG,常熟银行,0.19,-1.81,1.18,1.25,26.04,203.4,2020-10-28,601128.XSHG,常熟银行,2024-01-25
300152.XSHE,新动力,-0.0,0.05,0.83,-0.82,7.13,29.78,2020-10-28,300152.XSHE,新动力,2024-01-25
688521.XSHG,芯原股份,-0.04,-0.14,7.85,-3.44,0.43,39.54,2020-10-28,688521.XSHG,芯原股份,2024-01-25
600884.XSHG,杉杉股份,0.11,0.09,2.2,3.72,16.28,169.64,2020-10-28,600884.XSHG,杉杉股份,2024-01-25
688095.XSHG,福昕软件,0.64,0.55,56.61,4.44,0.11,33.9,2020-10-28,688095.XSHG,福昕软件,2024-01-25
603321.XSHG,梅轮电梯,0.04,0.08,1.12,1.22,3.07,22.9,2020-10-28,603321.XSHG,梅轮电梯,2024-01-25
300199.XSHE,翰宇药业,0.01,-0.03,1.9,-0.18,6.29,50.19,2020-10-28,300199.XSHE,翰宇药业,2024-01-25
300823.XSHE,建科机械,0.25,0.17,4.18,3.9,0.23,7.48,2020-10-28,300823.XSHE,建科机械,2024-01-25
300703.XSHE,创源股份,0.14,0.11,1.58,1.21,1.61,20.27,2020-10-28,300703.XSHE,创源股份,2024-01-25
002235.XSHE,安妮股份,-0.14,-0.01,2.45,-0.42,5.3,38.45,2020-10-28,002235.XSHE,安妮股份,2024-01-25
002824.XSHE,和胜股份,0.1,-0.04,1.98,1.32,1.05,17.51,2020-10-28,002824.XSHE,和胜股份,2024-01-25
600590.XSHG,泰豪科技,0.04,0.12,2.85,0.68,8.45,51.29,2020-10-28,600590.XSHG,泰豪科技,2024-01-25
603012.XSHG,创力集团,0.13,-0.0,0.71,2.47,6.37,46.79,2020-10-28,603012.XSHG,创力集团,2024-01-25
002478.XSHE,常宝股份,0.06,0.06,1.45,1.95,5.99,29.1,2020-10-28,002478.XSHE,常宝股份,2024-01-25
603067.XSHG,振华股份,0.11,-0.29,0.46,1.64,4.31,28.8,2020-10-28,603067.XSHG,振华股份,2024-01-25
002667.XSHE,鞍重股份,0.02,-0.03,1.02,1.22,2.31,20.45,2020-10-28,002667.XSHE,鞍重股份,2024-01-25
300160.XSHE,秀强股份,0.06,0.12,0.33,0.23,5.83,46.53,2020-10-28,300160.XSHE,秀强股份,2024-01-25
300681.XSHE,英搏尔,0.12,0.23,4.77,1.31,0.41,12.11,2020-10-28,300681.XSHE,英搏尔,2024-01-25
002591.XSHE,恒大高新,0.01,-0.14,2.78,0.5,2.17,14.7,2020-10-28,002591.XSHE,恒大高新,2024-01-25
688568.XSHG,中科星图,0.18,-0.11,3.4,0.65,0.47,28.03,2020-10-28,688568.XSHG,中科星图,2024-01-25
002213.XSHE,大为股份,0.01,-0.11,0.0,0.67,2.06,31.93,2020-10-28,002213.XSHE,大为股份,2024-01-25
300320.XSHE,海达股份,0.13,0.02,0.6,1.26,4.64,29.79,2020-10-28,300320.XSHE,海达股份,2024-01-25
000702.XSHE,正虹科技,-0.0,-0.35,0.68,0.13,2.67,14.5,2020-10-28,000702.XSHE,正虹科技,2024-01-25
601003.XSHG,柳钢股份,0.18,0.58,0.08,2.62,25.63,116.35,2020-10-28,601003.XSHG,柳钢股份,2024-01-25
002373.XSHE,千方科技,0.17,0.34,3.95,2.38,10.45,229.63,2020-10-28,002373.XSHE,千方科技,2024-01-25
000925.XSHE,众合科技,0.15,-0.07,3.39,0.1,5.31,40.38,2020-10-28,000925.XSHE,众合科技,2024-01-25
